Name,LastName,Email,Comment
Yusmila,a,yusmila@gmail.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,No se pudo encontrar el CV para subir
Pablo,,pablo@gmbil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Name,LastName,Email,Comment
Yusmila,a,yusmila@gmail.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,No se pudo encontrar el CV para subir
Pablo,,pablo@gmbil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,ERROR al agregar usuario!
Name,LastName,Email,Comment
Yusmila,a,yusmila@gmail.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,No se pudo encontrar el CV para subir
Pablo,,pablo@gmbil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,ERROR al agregar usuario!
 Felipe,c,felipe@gmcil.com,No se pudo encontrar el CV para subir
 Felipe,c,felipe@gmcil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Valeria,d,valeria@gmdil.com,No se pudo encontrar el CV para subir
Valeria,d,valeria@gmdil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Name,LastName,Email,Comment
Yusmila,a,yusmila@gmail.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,No se pudo encontrar el CV para subir
Pablo,,pablo@gmbil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,ERROR al agregar usuario!
Name,LastName,Email,Comment
Yusmila,a,yusmila@gmail.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,No se pudo encontrar el CV para subir
Pablo,,pablo@gmbil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Pablo,,pablo@gmbil.com,ERROR al agregar usuario!
 Felipe,c,felipe@gmcil.com,No se pudo encontrar el CV para subir
 Felipe,c,felipe@gmcil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
Valeria,d,valeria@gmdil.com,No se pudo encontrar el CV para subir
Valeria,d,valeria@gmdil.com,No se pudo encontrar el keyword de 'Seniority' para agregar. Campo vacío en el excel
